date,time,comp_level_ft,temperature,year,month,wy
2024-11-15,08:30:49,1.2106299212598426,13.9,2024,11,2025
2024-11-15,08:45:49,1.217191601049869,13.7,2024,11,2025
2024-11-15,09:00:49,1.2270341207349083,13.8,2024,11,2025
2024-11-15,09:15:49,1.2335958005249343,13.9,2024,11,2025
2024-11-15,09:30:49,1.2335958005249343,14.2,2024,11,2025
2024-11-15,09:45:49,1.2401574803149606,14.4,2024,11,2025
2024-11-15,10:00:49,1.246719160104987,14.8,2024,11,2025
2024-11-15,10:15:49,1.246719160104987,14.9,2024,11,2025
2024-11-15,10:30:49,1.2401574803149606,15,2024,11,2025
2024-11-15,10:45:49,1.2434383202099737,15,2024,11,2025
2024-11-15,11:00:49,1.246719160104987,15,2024,11,2025
2024-11-15,11:15:49,1.2368766404199476,15.2,2024,11,2025
2024-11-15,11:30:49,1.2270341207349083,15.4,2024,11,2025
2024-11-15,11:45:49,1.2368766404199476,15.4,2024,11,2025
2024-11-15,12:00:49,1.220472440944882,15.5,2024,11,2025
2024-11-15,12:15:49,1.220472440944882,15.6,2024,11,2025
2024-11-15,12:30:49,1.2270341207349083,15.7,2024,11,2025
2024-11-15,12:45:49,1.2270341207349083,15.9,2024,11,2025
2024-11-15,13:00:49,1.2335958005249343,15.9,2024,11,2025
2024-11-15,13:15:49,1.2401574803149606,15.9,2024,11,2025
2024-11-15,13:30:49,1.2401574803149606,16,2024,11,2025
2024-11-15,13:45:49,1.2434383202099737,15.9,2024,11,2025
2024-11-15,14:00:49,1.2434383202099737,15.7,2024,11,2025
2024-11-15,14:15:49,1.2532808398950133,15.8,2024,11,2025
2024-11-15,14:30:49,1.2664041994750657,16.3,2024,11,2025
2024-11-15,14:45:49,1.2598425196850394,17,2024,11,2025
2024-11-15,15:00:49,1.2401574803149606,16.9,2024,11,2025
2024-11-15,15:15:49,1.2434383202099737,16.8,2024,11,2025
2024-11-15,15:30:49,1.25,16.7,2024,11,2025
2024-11-15,15:45:49,1.2335958005249343,16.7,2024,11,2025
2024-11-15,16:00:49,1.2303149606299213,16.7,2024,11,2025
2024-11-15,16:15:49,1.2532808398950133,16.8,2024,11,2025
2024-11-15,16:30:49,1.2368766404199476,16.6,2024,11,2025
2024-11-15,16:45:49,1.2270341207349083,16.5,2024,11,2025
2024-11-15,17:00:49,1.2303149606299213,16.3,2024,11,2025
2024-11-15,17:15:49,1.2139107611548556,16.2,2024,11,2025
2024-11-15,17:30:49,1.2335958005249343,16.1,2024,11,2025
2024-11-15,17:45:49,1.246719160104987,16.1,2024,11,2025
2024-11-15,18:00:49,1.2401574803149606,16.1,2024,11,2025
2024-11-15,18:15:49,1.2434383202099737,16,2024,11,2025
2024-11-15,18:30:49,1.246719160104987,15.9,2024,11,2025
2024-11-15,18:45:49,1.2401574803149606,15.6,2024,11,2025
2024-11-15,19:00:49,1.2335958005249343,15.4,2024,11,2025
2024-11-15,19:15:49,1.2335958005249343,15.3,2024,11,2025
2024-11-15,19:30:49,1.2270341207349083,15.1,2024,11,2025
2024-11-15,19:45:49,1.2335958005249343,15.1,2024,11,2025
2024-11-15,20:00:49,1.220472440944882,15.1,2024,11,2025
2024-11-15,20:15:49,1.2368766404199476,14.8,2024,11,2025
2024-11-15,20:30:49,1.246719160104987,14.7,2024,11,2025
2024-11-15,20:45:49,1.2270341207349083,14.3,2024,11,2025
2024-11-15,21:00:49,1.2335958005249343,14,2024,11,2025
2024-11-15,21:15:49,1.2303149606299213,14.1,2024,11,2025
2024-11-15,21:30:49,1.2368766404199476,14.1,2024,11,2025
2024-11-15,21:45:49,1.2368766404199476,14.1,2024,11,2025
2024-11-15,22:00:49,1.223753280839895,14,2024,11,2025
2024-11-15,22:15:49,1.220472440944882,13.8,2024,11,2025
2024-11-15,22:30:49,1.2040682414698163,13.9,2024,11,2025
2024-11-15,22:45:49,1.2040682414698163,14.1,2024,11,2025
2024-11-15,23:00:49,1.217191601049869,14.2,2024,11,2025
2024-11-15,23:15:49,1.220472440944882,14.2,2024,11,2025
2024-11-15,23:30:49,1.2270341207349083,14.1,2024,11,2025
2024-11-15,23:45:49,1.2335958005249343,14,2024,11,2025
2024-11-16,00:00:49,1.2368766404199476,14.2,2024,11,2025
2024-11-16,00:15:49,1.2368766404199476,14.3,2024,11,2025
2024-11-16,00:30:49,1.2270341207349083,14.4,2024,11,2025
2024-11-16,00:45:49,1.220472440944882,14.5,2024,11,2025
2024-11-16,01:00:49,1.220472440944882,14.6,2024,11,2025
2024-11-16,01:15:49,1.2007874015748032,14.6,2024,11,2025
2024-11-16,01:30:49,1.217191601049869,14.6,2024,11,2025
2024-11-16,01:45:49,1.223753280839895,14.6,2024,11,2025
2024-11-16,02:00:49,1.220472440944882,14.8,2024,11,2025
2024-11-16,02:15:49,1.2335958005249343,14.7,2024,11,2025
2024-11-16,02:30:49,1.2270341207349083,14.9,2024,11,2025
2024-11-16,02:45:49,1.217191601049869,14.8,2024,11,2025
2024-11-16,03:00:49,1.2106299212598426,14.8,2024,11,2025
2024-11-16,03:15:49,1.2106299212598426,14.9,2024,11,2025
2024-11-16,03:30:49,1.220472440944882,14.8,2024,11,2025
2024-11-16,03:45:49,1.2303149606299213,14.8,2024,11,2025
2024-11-16,04:00:49,1.2335958005249343,14.8,2024,11,2025
2024-11-16,04:15:49,1.2335958005249343,14.9,2024,11,2025
2024-11-16,04:30:49,1.2368766404199476,15,2024,11,2025
2024-11-16,04:45:49,1.2368766404199476,14.9,2024,11,2025
2024-11-16,05:00:49,1.2335958005249343,14.9,2024,11,2025
2024-11-16,05:15:49,1.2368766404199476,14.8,2024,11,2025
2024-11-16,05:30:49,1.2303149606299213,14.9,2024,11,2025
2024-11-16,05:45:49,1.2335958005249343,15.1,2024,11,2025
2024-11-16,06:00:49,1.2335958005249343,15.1,2024,11,2025
2024-11-16,06:15:49,1.2368766404199476,14.9,2024,11,2025
2024-11-16,06:30:49,1.2434383202099737,14.8,2024,11,2025
2024-11-16,06:45:49,1.246719160104987,14.9,2024,11,2025
2024-11-16,07:00:49,1.2434383202099737,14.9,2024,11,2025
2024-11-16,07:15:49,1.246719160104987,14.9,2024,11,2025
2024-11-16,07:30:49,1.2368766404199476,15,2024,11,2025
2024-11-16,07:45:49,1.2335958005249343,14.8,2024,11,2025
2024-11-16,08:00:49,1.2270341207349083,14.8,2024,11,2025
2024-11-16,08:15:49,1.2335958005249343,14.6,2024,11,2025
2024-11-16,08:30:49,1.2270341207349083,14.7,2024,11,2025
2024-11-16,08:45:49,1.2401574803149606,14.8,2024,11,2025
2024-11-16,09:00:49,1.2565616797900263,14.8,2024,11,2025
2024-11-16,09:15:49,1.2664041994750657,14.7,2024,11,2025
2024-11-16,09:30:49,1.2795275590551183,14.8,2024,11,2025
2024-11-16,09:45:49,1.2959317585301837,14.8,2024,11,2025
2024-11-16,10:00:49,1.2959317585301837,14.8,2024,11,2025
2024-11-16,10:15:49,1.3057742782152233,14.9,2024,11,2025
2024-11-16,10:30:49,1.3221784776902887,14.7,2024,11,2025
2024-11-16,10:45:49,1.3221784776902887,14.6,2024,11,2025
2024-11-16,11:00:49,1.3156167979002626,14.5,2024,11,2025
2024-11-16,11:15:49,1.299212598425197,14.4,2024,11,2025
2024-11-16,11:30:49,1.2926509186351707,14.1,2024,11,2025
2024-11-16,11:45:49,1.299212598425197,14,2024,11,2025
